,顧客ID,商品コード,売上単価,数量,売上,明細ID
3823,34252028,200006,8640,1,8640,340000051841
3825,34312048,1A1501,105840,1,105840,340000051851
3829,34312048,1B2201,28080,1,28080,340000051855
3837,34552005,200071,16200,1,16200,340000051911
3841,34552010,200006,8640,1,8640,340000051972
3842,34552010,200071,16200,1,16200,340000052031
3846,34912020,1A1501,105840,1,105840,340000052131
3853,35112197,1B2201,28080,1,28080,350000643711
3874,35152322,1B2201,28080,1,28080,350000642034
3877,35152349,1A1501,105840,1,105840,350000639443
3879,35152349,1B2201,28080,1,28080,350000639445
3890,35152354,200006,8640,1,8640,350000644251
3893,35212101,1A1501,105840,1,105840,370000443241
3914,35212312,1A1501,105840,1,105840,350000642451
3916,35222088,1B2201,28080,1,28080,370000442791
3924,35222096,200006,8640,1,8640,350000644661
3926,35222125,200006,8640,1,8640,370000444101
3933,35252212,1B2201,28080,1,28080,350000637654
3940,35252216,200071,16200,1,16200,370000444401
3950,35312213,1B2201,28080,1,28080,350000638964
3962,35322206,1B2201,28080,1,28080,350000643433
3970,35322210,1B2201,28080,1,28080,350000644743
3977,35332010,200006,8640,1,8640,1680000017551
3978,35332010,200071,16200,1,16200,1680000017552
4012,35522092,200006,8640,1,8640,350000638462
4032,35632184,200006,8640,1,8640,350000639971
4038,35652059,1A1501,105840,1,105840,350000638031
4049,35712151,200071,16200,1,16200,370000445531
4055,35712287,1A1501,105840,1,105840,350000638042
4065,35712289,1A1501,105840,1,105840,350000642951
4067,35712289,1B2201,28080,1,28080,350000642953
4069,35712290,1A1501,105840,1,105840,350000643031
4071,35712290,1B2201,28080,1,28080,350000643033
4073,35722007,200006,8640,1,8640,370000446991
4075,35722173,200006,8640,1,8640,350000639981
4081,35722176,1B2201,28080,1,28080,350000642343
4098,35812309,1A1501,105840,1,105840,350000644612
4100,35812309,1B2201,28080,1,28080,350000644614
4127,36122450,1B2201,28080,1,28080,250000595841
4140,36132131,1A1501,105840,1,105840,360000672932
4144,36152472,200006,8640,1,8640,360000663072
4145,36152472,200071,16200,1,16200,360000669531
4189,36522052,200071,16200,1,16200,360000663061
4194,36612120,1B2201,28080,1,28080,1570000033833
4200,36622083,200071,16200,1,16200,360000672881
4201,36622083,200006,8640,1,8640,360000672882
4208,36622105,200071,16200,1,16200,360000663792
4209,36632109,200006,8640,1,8640,360000669471
4218,36632149,1A1501,105840,1,105840,360000662732
4230,36712181,200006,8640,1,8640,360000671954
4239,36722153,1A1501,105840,1,105840,360000670212
4244,36732049,200006,8640,1,8640,360000665901
4262,36812276,200006,8640,1,8640,360000672812
4263,36852148,200006,8640,1,8640,360000666561
4281,37112229,200006,8640,1,8640,370000446331
4287,37122094,1B2201,28080,1,28080,370000441564
4288,37122252,200006,8640,1,8640,370000441551
4293,37122481,1B2201,28080,1,28080,370000444024
4296,37122494,1A1501,105840,1,105840,370000443361
4298,37122494,1B2201,28080,1,28080,370000443363
4311,37122496,200006,8640,1,8640,370000444491
4318,37142074,1A1601,82080,1,82080,370000442971
4328,37152043,200006,8640,1,8640,350000640553
4336,37152394,200006,8640,1,8640,370000442951
4340,37152395,1A1501,105840,1,105840,370000445951
4348,37212287,200071,16200,1,16200,370000446071
4353,37212371,200006,8640,1,8640,370000443501
4360,37212380,1A1501,105840,1,105840,370000443311
4365,37212380,1B2201,28080,1,28080,370000443316
4374,37212382,1A1601,82080,1,82080,370000446531
4383,37232174,1B2201,28080,1,28080,370000441255
4388,37232180,1A1501,105840,1,105840,370000442691
4405,37252024,200071,16200,1,16200,370000443404
4410,37252202,1B2201,28080,1,28080,370000444143
4417,37252220,1A1501,105840,1,105840,370000442091
4433,37252223,200071,16200,1,16200,370000445371
4436,37252225,200071,16200,1,16200,370000446201
4449,37312268,1A1501,105840,1,105840,370000445991
4476,37412472,1B2201,28080,1,28080,370000444395
4480,37452116,1A1501,105840,1,105840,370000443711
4498,37512356,1B2201,28080,1,28080,370000444704
4502,37512363,1A1501,105840,1,105840,370000443921
4503,37512363,1B2201,28080,1,28080,370000443922
4515,37512364,1A1501,105840,1,105840,370000444591
4524,37512366,1A1501,105840,1,105840,370000444731
4535,37522060,1B2201,28080,1,28080,370000441683
4546,37612289,1A1601,82080,1,82080,370000441001
4555,37612291,1A1501,105840,1,105840,370000445181
4579,37632285,1A1501,105840,1,105840,370000442271
