,顧客ID,状況,指名区分,予約回数
3100,111130010,予約,なし,1
3101,111130013,予約,なし,1
3102,111130014,予確済,なし,1
3103,111130014,予約,なし,3
3104,111230002,予約,なし,1
3105,111230018,予確済,なし,1
3106,111230018,予約,なし,1
3107,111310042,予確済,なし,2
3108,111310042,予約,なし,2
3109,111340001,予確済,なし,1
3110,111410012,予約,なし,1
3111,111410024,予約,なし,1
3112,111520008,予約,なし,1
3113,111630014,予約,なし,2
3114,111710020,予確済,なし,1
3115,111710020,予約,なし,3
3116,111810011,予約,なし,1
3117,111910012,予約,なし,1
3118,112120038,予確済,なし,2
3119,112210001,予約,なし,1
3120,112220021,予約,なし,1
3121,112250024,予確済,なし,1
3122,112330013,予確済,なし,1
3123,112330013,変更取消,なし,1
3124,112410042,予約,なし,1
3125,112410054,予確済,なし,1
3126,112410054,予約,なし,2
3127,112710027,予約,なし,1
3128,113110026,予確済,あり,1
3129,113120002,予確済,なし,1
3130,113120002,変更取消,なし,1
3131,113250039,予約,なし,1
3132,113250040,仮予約,なし,1
3133,113410002,予約,なし,1
3134,113630018,予約,なし,1
3135,113630020,予約,なし,1
3136,116110005,予確済,なし,1
3137,116210019,予約,なし,1
3138,116710007,予確済,なし,1
3139,117110002,予確済,なし,1
3140,117150050,予確済,なし,1
3141,117430015,予確済,なし,1
