,顧客ID,指名回数,コース受諾回数,紹介カード受渡回数,治療送客回数,院長挨拶回数,施術時間
1801,6632266,なし,あり,なし,あり,なし,
1811,6632270,なし,なし,なし,なし,なし,
1813,6632274,なし,なし,なし,なし,なし,
1814,6632274,なし,なし,なし,なし,なし,
1815,6632274,なし,なし,なし,なし,なし,
1816,6632289,なし,なし,なし,なし,なし,
1820,6632291,なし,あり,なし,なし,なし,
1827,6632291,なし,なし,なし,なし,なし,
1828,6632291,なし,なし,なし,なし,なし,
1829,6632291,なし,なし,なし,なし,なし,
1830,6632294,なし,なし,なし,なし,なし,
1832,6632294,なし,なし,なし,なし,なし,
1834,6632296,なし,なし,なし,なし,なし,
1837,6632298,なし,なし,なし,なし,なし,
1839,6632298,なし,なし,なし,なし,なし,
1843,6632299,なし,あり,あり,なし,なし,
1846,6632299,なし,なし,なし,なし,なし,
1855,6652135,あり,なし,なし,あり,なし,
1859,6652135,なし,なし,なし,なし,なし,
1860,6652146,なし,なし,なし,なし,なし,
1861,6652156,なし,あり,あり,なし,なし,
1864,6652156,なし,なし,なし,なし,なし,
1869,6652156,なし,なし,なし,なし,なし,
1871,6712061,なし,なし,あり,なし,なし,
1875,6712073,なし,なし,なし,なし,なし,
1877,6712234,なし,なし,なし,なし,なし,
1880,6722126,なし,なし,なし,なし,なし,
1886,6722275,なし,あり,なし,なし,なし,
1890,6732092,なし,あり,なし,なし,なし,
1897,6732117,なし,なし,なし,なし,なし,
1899,6752151,なし,なし,なし,なし,なし,
1901,6752152,なし,あり,あり,なし,なし,
1904,6752152,なし,なし,なし,なし,なし,
1914,6811119,なし,なし,なし,なし,なし,
1916,6812142,なし,あり,なし,なし,なし,
1919,6812210,なし,なし,なし,なし,なし,
1924,6812330,なし,なし,なし,なし,なし,
1927,6812417,なし,なし,なし,なし,なし,
1928,6812423,なし,なし,なし,なし,なし,
1930,6812436,なし,なし,なし,なし,なし,
1933,6812442,なし,あり,あり,なし,なし,
1935,6812442,なし,なし,なし,なし,なし,
1937,6812445,なし,なし,あり,なし,なし,
1943,6812445,なし,なし,なし,なし,なし,
1946,6852180,なし,なし,なし,なし,なし,
1949,6852232,なし,なし,あり,なし,なし,
1955,6912130,なし,なし,なし,なし,なし,
1956,6912175,なし,なし,あり,なし,なし,
1963,6922021,なし,なし,あり,なし,なし,
1966,6991031,なし,なし,なし,なし,なし,
1967,7122101,なし,なし,なし,なし,なし,
1972,7132022,なし,なし,あり,なし,なし,
1973,7132022,なし,なし,なし,なし,なし,
1976,7132022,なし,なし,なし,なし,なし,
1979,7152034,なし,あり,なし,なし,なし,
1982,7152105,なし,あり,あり,なし,なし,
1986,7152105,なし,なし,なし,なし,なし,
1996,7152106,なし,なし,あり,なし,なし,
2001,7152106,なし,なし,なし,なし,なし,
2007,7152107,なし,なし,あり,なし,なし,
2009,7212075,なし,なし,なし,なし,なし,
2011,7212076,なし,なし,あり,なし,なし,
2016,7232028,なし,なし,なし,なし,なし,
2018,7232030,なし,なし,あり,なし,なし,
2022,7252061,なし,あり,あり,なし,なし,
2025,7252061,なし,なし,なし,なし,なし,
2033,7252061,なし,なし,なし,なし,なし,
2035,7252062,なし,あり,あり,なし,なし,
2038,7252062,なし,なし,なし,なし,なし,
2046,7312039,なし,なし,なし,なし,なし,
2047,7332035,なし,なし,なし,なし,なし,
2050,7332040,なし,なし,あり,なし,なし,
2052,7512075,なし,なし,あり,なし,なし,
2053,7512075,なし,なし,なし,なし,なし,
2057,7622027,なし,なし,なし,なし,なし,
2068,7632028,なし,あり,あり,なし,なし,
2072,7632028,なし,なし,なし,なし,なし,
2079,7722036,なし,あり,あり,なし,なし,
2082,7752020,なし,なし,なし,なし,なし,
2083,7752020,なし,なし,なし,なし,なし,
2084,7812052,なし,なし,なし,なし,なし,
2086,7812053,なし,なし,あり,なし,なし,
2088,7812053,なし,なし,なし,なし,なし,
2093,7812054,なし,なし,あり,なし,なし,
2096,7852032,なし,あり,あり,なし,なし,
2101,7852032,なし,なし,なし,なし,なし,
