,顧客ID,商品コード,売上単価,数量,売上,明細ID,スコア
2669,14611024,200006,8640,1,8640,140000850051,1
2688,14722085,1B2201,28080,1,28080,140000852023,4
2714,15121015,200006,8640,1,8640,150000394731,1
2725,15132058,200006,8640,1,8640,150000391981,1
2727,15142028,1A1501,105840,1,105840,280000299591,5
2728,15142028,1B2201,28080,1,28080,280000299592,4
2736,15142041,200006,8640,1,8640,150000393012,1
2740,15152214,1B2201,28080,1,28080,380000323923,4
2748,15212197,200006,8640,1,8640,150000394211,1
2752,15212217,1A1501,105840,1,105840,150000394401,5
2758,15232086,200071,16200,1,16200,150000393231,2
2771,15332107,1A1601,82080,1,82080,150000392121,3
2776,15411006,1B2201,28080,1,28080,150000394101,4
2780,15412008,200006,8640,1,8640,60000737521,1
2790,15522058,200006,8640,1,8640,150000392351,1
2794,15552029,200006,8640,1,8640,550000201781,1
2796,15611002,200006,8640,1,8640,150000392851,1
2798,15612119,200006,8640,1,8640,150000394121,1
2800,15612149,1A1601,82080,1,82080,150000391971,3
2807,15652035,200006,8640,1,8640,150000393961,1
2811,15711008,1B2201,28080,1,28080,150000392422,4
2815,15712160,200006,8640,1,8640,1430000224511,1
2830,15812163,200006,8640,1,8640,150000392131,1
2834,15852079,200006,8640,1,8640,320000506181,1
2843,16122232,200071,16200,1,16200,540000163012,2
2846,16122376,1B2201,28080,1,28080,730000109181,4
2852,16122474,1A1501,105840,1,105840,160000637352,5
2862,16122475,1A1601,82080,1,82080,160000637811,3
2875,16142045,200071,16200,1,16200,2010000017371,2
2881,16152345,200006,8640,1,8640,160000640131,1
2900,16212159,200071,16200,1,16200,730000108251,2
2915,16312033,200006,8640,1,8640,380000323501,1
2926,16322141,200006,8640,1,8640,160000638111,1
2933,16322211,200006,8640,1,8640,160000635352,1
2941,16322211,200071,16200,1,16200,160000639781,2
2944,16322212,200006,8640,1,8640,160000636121,1
2946,16322214,200071,16200,1,16200,160000639671,2
2949,16342059,1B2201,28080,1,28080,160000640171,4
2958,16512300,1A1601,82080,1,82080,160000636991,3
2965,16552052,200006,8640,1,8640,20001637991,1
2967,16612146,200006,8640,1,8640,160000636111,1
2969,16612247,200006,8640,1,8640,160000639811,1
2973,16622143,1B2201,28080,1,28080,160000635181,4
2977,16632184,200006,8640,1,8640,160000636381,1
2996,16812295,200071,16200,1,16200,160000636362,2
3009,16852145,1B2201,28080,1,28080,1770000185496,4
3016,17152147,200071,16200,1,16200,60000739011,2
3020,17212090,200006,8640,1,8640,60000739451,1
3039,18151051,1B2201,28080,1,28080,20001631101,4
3044,18251019,200071,16200,1,16200,70000144781,2
3051,18722023,200071,16200,1,16200,660000216751,2
3054,18751007,200006,8640,1,8640,1430000224971,1
3070,20412105,200071,16200,1,16200,160000635991,2
3075,21212128,1B2201,28080,1,28080,1380000018373,4
3094,21712045,200006,8640,1,8640,1380000018761,1
3095,21812134,1B2201,28080,1,28080,1200000288771,4
3102,22311017,200006,8640,1,8640,1620000243401,1
3105,22412060,1B2201,28080,1,28080,380000323741,4
3114,23132020,200006,8640,1,8640,1620000241101,1
3116,23132090,200006,8640,3,25920,1620000245061,3
3120,23212301,200006,8640,0,0,1620000238031,0
3122,23212301,1B2201,28080,1,28080,1620000238033,4
3131,23252112,200006,8640,1,8640,1620000236921,1
3133,23312222,200006,8640,1,8640,1620000244471,1
3144,23432056,200006,8640,1,8640,1620000240521,1
3161,23622103,200071,16200,1,16200,1620000237681,2
3165,23622129,200071,16200,1,16200,630000730302,2
3166,23622129,200006,8640,1,8640,630000730303,1
3173,23711020,200071,16200,1,16200,1160000005901,2
3177,23712128,1B2201,28080,1,28080,1620000238951,4
3182,23712276,200006,8640,0,0,1620000241111,0
3201,25152116,200006,8640,1,8640,550000202271,1
